ID	Idx	GroupID	State	Type	Text	Name	Date	Codes	Memos	MemoID	Author	Size	DocType	MediaFileX	ScaleFactor	CodesWndWidth	ScrollPosPage	ScrollPosX	ScrollPosY	SelPage	SelX1	SelY1	SelX2	SelY2	ExtLink1	ExtLink2	ExtLink3	RIS-TY	RIS-AU	RIS-TI	RIS-ID	RIS-PY	Data	CodTemp	Data2	PlainTextWin	PlainTextMac	GeoLinkID	Color	LastChgUser	LastChgDate
48	3	1	1	0	BLOB	Beobachtungsauftrag_16-04-29_01-12-23_SB28	2018-01-18T12:05:45.726	3	0	0	anonymous	3562	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:40.278
49	4	1	1	0	BLOB	Beratungsgespraech-Gliederung_15-01-12_01-12-32_SB24	2018-01-18T12:05:46.157	16	0	0	anonymous	11748	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:39.095
50	5	1	1	0	BLOB	Beratungsgespraech-Themeneingrenzung_15-01-12_07-22-40_SB24	2018-01-18T12:05:46.573	26	0	0	anonymous	12795	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:37.811
51	6	1	1	0	BLOB	Bericht_12-09-14_23-27-57_SB11	2018-01-18T12:05:46.991	33	0	0	anonymous	26007	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:36.811
52	7	1	1	0	BLOB	Bericht-Konditorei_14-07-28_03-13-81_WB50	2018-01-18T12:05:47.068	0	0	0	anonymous	2002430	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:35.813
53	8	1	1	0	BLOB	Best-Practice_13-09-30_21-02-74	2018-01-18T12:05:47.213	0	0	0	anonymous	2595277	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:34.761
54	9	1	1	0	BLOB	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	2018-01-18T12:05:48.000	11	0	0	anonymous	35294	0		0.99	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:33.600
55	0	0	1	0	BLOB	Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06	2018-01-18T12:06:07.517	6	0	0	anonymous	18797	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:39.781
56	1	0	1	0	BLOB	Diplom-Grundsicherung-fuer-Studenten_13-01-03_31-23-46_WB06	2018-01-18T12:06:08.168	0	0	0	anonymous	47517	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-16T14:15:01.724
57	2	0	1	0	BLOB	Diplomarbeit-Einleitung_13-09-15_27-16-44	2018-01-18T12:06:08.687	14	0	0	anonymous	34840	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:39.824
58	3	0	1	0	BLOB	Diplomarbeit-Full_13-03-08_31-23-46	2018-01-18T12:06:08.759	2	0	0	anonymous	4394570	1		656.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-02-26T14:28:12.332
59	4	0	1	0	BLOB	Diss_14-09-16_16-03-87_SB02	2018-01-18T12:06:10.571	9	0	0	anonymous	1542902	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:40.129
60	5	0	1	0	BLOB	Diss-Berichterstattung_16-06-02_21-01-44_WB06	2018-01-18T12:06:13.247	0	0	0	anonymous	497328	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-16T14:15:17.129
61	6	0	1	0	BLOB	Diss-Einleitung_15-07-09_06-07-96_SB02	2018-01-18T12:06:13.969	0	0	0	anonymous	30233	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-16T14:15:19.112
62	7	0	1	0	BLOB	Diss-Einleitung-1_14-09-03_27-09-92_WB50	2018-01-18T12:06:14.042	0	0	0	anonymous	2490548	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T18:31:20.340
63	8	0	1	0	BLOB	Diss-Einleitung-2_14-09-03_27-09-92_WB50	2018-01-18T12:06:14.227	0	0	0	anonymous	3136634	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T18:31:24.064
64	9	0	1	0	BLOB	Diss-Forschungsstand_15-08-13_06-07-96_SB02	2018-01-18T12:06:15.424	2	0	0	anonymous	155577	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:40.875
65	10	0	1	0	BLOB	Diss-Geopolitik_14-11-17_00-08-79_SB19	2018-01-18T12:06:16.100	1	0	0	anonymous	9020	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.016
66	11	0	1	0	BLOB	Diss-Geopolitik-zweites-Kapitel_15-06-22_00-08-79_SB19	2018-01-18T12:06:16.737	2	0	0	anonymous	14820	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.033
67	12	0	1	0	BLOB	Diss-Kap3_16-08-01_00-08-79_WB06	2018-01-18T12:06:17.251	1	0	0	anonymous	14173	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.058
68	13	0	1	0	BLOB	Diss-Kapitel-I_15-10-26_06-07-96_SB02	2018-01-18T12:06:18.479	1	0	0	anonymous	137620	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.102
69	14	0	1	0	BLOB	Diss-Kapitel-I-Teil-I_15-10-14_06-07-96_SB02	2018-01-18T12:06:19.761	1	0	0	anonymous	136948	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.224
70	15	0	1	0	BLOB	Diss-Kapitel-I-Teil-II_15-10-14_06-07-96_SB02	2018-01-18T12:06:20.799	2	0	0	anonymous	157906	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.342
71	16	0	1	0	BLOB	Diss-Kapitel-I-Teil-III_15-10-14_06-07-96_SB02	2018-01-18T12:06:21.916	2	0	0	anonymous	158646	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.496
